_id,ADDRESS,APPLICATION_FOR,BALLOTS_BLANK,BALLOTS_CAST,BALLOTS_DISTRIBUTED,BALLOTS_IN_FAVOUR,BALLOTS_NEEDED_TO_PROCEED,BALLOTS_NEEDED_TO_PROCEED_LBL,BALLOTS_OPPOSED,BALLOTS_RECEIVED_BY_VOTERS,BALLOTS_RETURNED_TO_SENDER,BALLOTS_SPOILED,CLOSE_DATE,DECLARATIONS_ADDED,FINAL_VOTER_COUNT,MORATORIUM_DATE,OPEN_DATE,PASS_RATE,PASS_RATE_LABEL,POLL_CD,POLL_ID,POLL_RESULT,POTENTIAL_VOTERS,RESPONSE_RATE_MET
789023,100 Sorauren Ave,Boulevard Cafe,0,27.0,92.0,21,23.0,25% of ballots received by voters,1,89.0,3.0,5,2015-07-07,0.0,92.0,2017-07-08,2015-06-08,15.0,50% + 1 of received ballots,BCP 2015-130,196.0,In Favour,110.0,Yes
789024,355 Danforth Ave,Boulevard Cafe,0,30.0,76.0,23,19.0,25% of ballots received by voters,1,73.0,3.0,6,2015-07-09,0.0,76.0,2017-07-10,2015-06-10,16.0,50% + 1 of received ballots,BCP 2015-131,197.0,In Favour,108.0,Yes
789025,538 Danforth Ave,Boulevard Cafe,0,50.0,146.0,45,35.0,25% of ballots received by voters,3,139.0,7.0,2,2015-07-07,1.0,146.0,2017-07-08,2015-06-08,26.0,50% + 1 of received ballots,BCP 2015-132,198.0,In Favour,174.0,Yes
789026,536 Soudan Ave,Appeal - Front Yard Parking,0,25.0,59.0,23,15.0,25% of ballots received by voters,0,59.0,0.0,2,2015-07-10,0.0,59.0,2018-07-11,2015-06-11,14.0,50% + 1 of received ballots,FYPA 2015-133,199.0,In Favour,68.0,Yes
789027,128 Montgomery Ave (former Toronto),Appeal - Front Yard Parking,0,29.0,75.0,11,19.0,25% of ballots received by voters,16,73.0,2.0,2,2015-07-10,1.0,75.0,2018-07-11,2015-06-11,16.0,50% + 1 of received ballots,FYPA 2015-134,200.0,Opposed,216.0,Yes
789028,132 Mortimer Ave,Appeal - Front Yard Parking,2,41.0,87.0,34,20.0,25% of ballots received by voters,2,80.0,7.0,3,2015-07-14,0.0,87.0,2018-07-15,2015-06-15,22.0,50% + 1 of received ballots,FYPA 2015-135,201.0,In Favour,96.0,Yes
789029,38 Henning Ave,Appeal - Front Yard Parking,0,41.0,59.0,37,14.0,25% of ballots received by voters,1,53.0,6.0,3,2015-07-14,0.0,59.0,2018-07-15,2015-06-15,22.0,50% + 1 of received ballots,FYPA 2015-136,202.0,In Favour,73.0,Yes
789030,481 Woburn Ave,Appeal - Front Yard Parking,0,31.0,65.0,21,17.0,25% of ballots received by voters,4,65.0,0.0,6,2015-07-15,0.0,65.0,2018-07-16,2015-06-16,17.0,50% + 1 of received ballots,FYPA 2015-137,203.0,In Favour,75.0,Yes
789031,45 Cranbrooke Ave,Appeal - Front Yard Parking,0,56.0,113.0,31,27.0,25% of ballots received by voters,16,105.0,8.0,9,2015-07-15,0.0,113.0,2018-07-16,2015-06-16,29.0,50% + 1 of received ballots,FYPA 2015-138,204.0,In Favour,135.0,Yes
789032,444 Eglinton Ave W,Boulevard Cafe,0,0.0,22.0,0,6.0,25% of ballots received by voters,0,22.0,0.0,0,2015-07-15,0.0,22.0,2017-07-16,2015-06-16,,50% + 1 of received ballots,BCP 2015-139,207.0,Response Rate Not Met,23.0,No
789033,,Traffic Calming,0,39.0,100.0,18,45.0,50% + 1 of ballots received by voters,18,88.0,12.0,3,2015-07-09,1.0,100.0,2017-07-10,2015-06-10,,60% of received ballots,TCP 2015-140,208.0,Response Rate Not Met,133.0,No
789034,,Traffic Calming,0,34.0,54.0,22,28.0,50% + 1 of ballots received by voters,9,53.0,1.0,3,2015-07-16,0.0,54.0,2017-07-17,2015-06-17,21.0,60% of received ballots,TCP 2015-141,209.0,In Favour,63.0,Yes
