_id,ADDRESS,APPLICATION_FOR,BALLOTS_BLANK,BALLOTS_CAST,BALLOTS_DISTRIBUTED,BALLOTS_IN_FAVOUR,BALLOTS_NEEDED_TO_PROCEED,BALLOTS_NEEDED_TO_PROCEED_LBL,BALLOTS_OPPOSED,BALLOTS_RECEIVED_BY_VOTERS,BALLOTS_RETURNED_TO_SENDER,BALLOTS_SPOILED,CLOSE_DATE,DECLARATIONS_ADDED,FINAL_VOTER_COUNT,MORATORIUM_DATE,OPEN_DATE,PASS_RATE,PASS_RATE_LABEL,POLL_CD,POLL_ID,POLL_RESULT,POTENTIAL_VOTERS,RESPONSE_RATE_MET
789248,179 Lawrence Ave W,Appeal - Front Yard Parking,0,33.0,95.0,31,24.0,25% of ballots received by voters,0,93.0,2.0,2,2016-07-22,0.0,95.0,2019-07-23,2016-06-22,18.0,50% + 1 of received ballots,FYPA 2016-106,460.0,In Favour,109.0,Yes
789249,59 Bellefair Ave,Front Yard Parking,0,96.0,119.0,85,30.0,25% of ballots received by voters,2,118.0,1.0,9,2016-07-23,0.0,119.0,2019-07-24,2016-06-23,49.0,50% + 1 of received ballots,FYP 2016-108,462.0,In Favour,155.0,Yes
789250,77 Leuty Ave,Front Yard Parking,0,56.0,114.0,26,27.0,25% of ballots received by voters,23,108.0,6.0,7,2016-07-20,2.0,114.0,2019-07-21,2016-06-20,29.0,50% + 1 of received ballots,FYP 2016-109,463.0,Opposed,128.0,Yes
789251,252 Glenrose Ave,Appeal - Front Yard Parking,0,49.0,70.0,37,17.0,25% of ballots received by voters,7,66.0,4.0,5,2016-07-21,1.0,70.0,2019-07-22,2016-06-21,26.0,50% + 1 of received ballots,FYPA 2016-110,464.0,In Favour,82.0,Yes
789252,69 Deloraine Ave,Front Yard Parking,0,44.0,110.0,34,27.0,25% of ballots received by voters,2,108.0,2.0,8,2016-07-22,0.0,110.0,2019-07-23,2016-06-22,23.0,50% + 1 of received ballots,FYP 2016-111,465.0,In Favour,126.0,Yes
789253,14 Larkin Ave,Front Yard Parking,0,49.0,76.0,46,19.0,25% of ballots received by voters,1,75.0,1.0,2,2016-07-22,0.0,76.0,2019-07-23,2016-06-22,26.0,50% + 1 of received ballots,FYP 2016-112,466.0,In Favour,100.0,Yes
789254,575 Hillsdale Ave E,Front Yard Parking,0,71.0,130.0,54,32.0,25% of ballots received by voters,14,126.0,4.0,3,2016-07-27,0.0,130.0,2019-07-28,2016-06-27,37.0,50% + 1 of received ballots,FYP 2016-113,467.0,In Favour,149.0,Yes
789255,2366 Bloor St W,Boulevard Cafe,0,11.0,44.0,5,11.0,25% of ballots received by voters,5,43.0,1.0,1,2016-07-27,0.0,44.0,2018-07-28,2016-06-27,7.0,50% + 1 of received ballots,BCP 2016-114,468.0,Opposed,50.0,Yes
789256,347 Windermere Ave,Front Yard Parking,0,12.0,23.0,10,6.0,25% of ballots received by voters,2,22.0,1.0,0,2016-07-27,2.0,23.0,2019-07-28,2016-06-27,7.0,50% + 1 of received ballots,FYP 2016-115,469.0,In Favour,28.0,Yes
789257,,Traffic Calming,0,43.0,72.0,19,37.0,50% + 1 of ballots received by voters,22,72.0,0.0,2,2016-10-06,0.0,72.0,2018-10-07,2016-09-06,26.0,60% of received ballots,TCP 2016-116,470.0,Opposed,85.0,Yes
789258,,Traffic Calming,0,34.0,64.0,24,32.0,50% + 1 of ballots received by voters,9,61.0,3.0,1,2016-10-06,0.0,64.0,2018-10-07,2016-09-06,21.0,60% of received ballots,TCP 2016-117,471.0,In Favour,77.0,Yes
789259,604 King St W,Boulevard Cafe,0,7.0,13.0,2,4.0,25% of ballots received by voters,5,13.0,0.0,0,2016-10-12,0.0,13.0,2018-10-13,2016-09-12,5.0,50% + 1 of received ballots,BCP 2016-118,472.0,Opposed,24.0,Yes
789260,,Traffic Calming,0,11.0,30.0,5,14.0,50% + 1 of ballots received by voters,6,25.0,5.0,0,2016-10-29,0.0,30.0,2018-10-30,2016-09-29,,60% of received ballots,TCP 2016-119,474.0,Response Rate Not Met,34.0,No
789261,,Traffic Calming,0,76.0,116.0,43,56.0,50% + 1 of ballots received by voters,27,109.0,7.0,6,2016-10-07,0.0,116.0,2018-10-08,2016-09-07,46.0,60% of received ballots,TCP 2016-120,475.0,Opposed,139.0,Yes
789262,,Traffic Calming,0,89.0,319.0,46,119.0,50% + 1 of ballots received by voters,28,236.0,83.0,15,2016-10-07,0.0,319.0,2018-10-08,2016-09-07,,60% of received ballots,TCP 2016-121,476.0,Response Rate Not Met,395.0,No
789263,,Traffic Calming,0,94.0,188.0,61,81.0,50% + 1 of ballots received by voters,24,159.0,29.0,9,2016-10-07,0.0,188.0,2018-10-08,2016-09-07,57.0,60% of received ballots,TCP 2016-122,477.0,In Favour,213.0,Yes
789264,,Traffic Calming,0,25.0,64.0,25,30.0,50% + 1 of ballots received by voters,0,57.0,7.0,0,2016-10-08,0.0,64.0,2018-10-09,2016-09-08,,60% of received ballots,TCP 2016-123,478.0,Response Rate Not Met,77.0,No
789265,40 Warland Ave,Front Yard Parking,0,57.0,103.0,39,26.0,25% of ballots received by voters,5,102.0,1.0,13,2016-10-20,0.0,103.0,2019-10-21,2016-09-20,30.0,50% + 1 of received ballots,FYP 2016-124,479.0,In Favour,114.0,Yes
789266,129 Ronan Ave,Front Yard Parking,0,41.0,70.0,35,18.0,25% of ballots received by voters,1,70.0,0.0,5,2016-10-14,0.0,70.0,2019-10-15,2016-09-14,22.0,50% + 1 of received ballots,FYP 2016-126,483.0,In Favour,94.0,Yes
789267,530 Soudan Ave,Appeal - Front Yard Parking,0,30.0,48.0,30,12.0,25% of ballots received by voters,0,48.0,0.0,0,2016-10-13,0.0,48.0,2019-10-14,2016-09-13,16.0,50% + 1 of received ballots,FYPA 2016-127,484.0,In Favour,57.0,Yes
789268,86 Balmoral Ave,Appeal - Front Yard Parking,0,71.0,133.0,46,33.0,25% of ballots received by voters,22,130.0,3.0,3,2016-10-15,0.0,133.0,2019-10-16,2016-09-15,37.0,50% + 1 of received ballots,FYPA 2016-128,485.0,In Favour,146.0,Yes
789269,76 Nealon Ave,Front Yard Parking,0,41.0,78.0,38,20.0,25% of ballots received by voters,2,77.0,1.0,1,2016-10-14,0.0,78.0,2019-10-15,2016-09-14,22.0,50% + 1 of received ballots,FYP 2016-129,486.0,In Favour,92.0,Yes
789270,171 Blackthorn Ave,Appeal - Front Yard Parking,0,92.0,194.0,74,46.0,25% of ballots received by voters,8,182.0,12.0,10,2016-10-20,0.0,194.0,2019-10-21,2016-09-20,47.0,50% + 1 of received ballots,FYPA 2016-130,487.0,In Favour,251.0,Yes
789271,439 Manor Rd E,Front Yard Parking,0,26.0,44.0,26,11.0,25% of ballots received by voters,0,41.0,3.0,0,2016-10-15,0.0,44.0,2019-10-16,2016-09-15,14.0,50% + 1 of received ballots,FYP 2016-131,488.0,In Favour,47.0,Yes
789272,2 Plains Rd,Appeal - Front Yard Parking,0,7.0,15.0,6,4.0,25% of ballots received by voters,1,15.0,0.0,0,2016-10-19,0.0,15.0,2019-10-20,2016-09-19,5.0,50% + 1 of received ballots,FYPA 2016-132,489.0,In Favour,21.0,Yes
789273,487 Winnett Ave,Front Yard Parking,0,35.0,46.0,32,11.0,25% of ballots received by voters,1,43.0,3.0,2,2016-10-15,0.0,46.0,2019-10-16,2016-09-15,19.0,50% + 1 of received ballots,FYP 2016-133,490.0,In Favour,55.0,Yes
789274,162 Ossington Ave,Boulevard Cafe,0,28.0,127.0,7,30.0,25% of ballots received by voters,13,117.0,10.0,8,2016-10-19,0.0,127.0,2018-10-20,2016-09-19,,50% + 1 of received ballots,BCP 2016-136,493.0,Response Rate Not Met,160.0,No
789275,,Traffic Calming,0,204.0,461.0,138,223.0,50% + 1 of ballots received by voters,48,443.0,18.0,18,2016-10-28,1.0,461.0,2018-10-29,2016-09-28,,60% of received ballots,TCP 2016-137,494.0,Response Rate Not Met,579.0,No
789276,600 King St W,Boulevard Cafe,0,3.0,14.0,1,4.0,25% of ballots received by voters,2,14.0,0.0,0,2016-10-21,0.0,14.0,2018-10-22,2016-09-21,,50% + 1 of received ballots,BCP 2016-138,495.0,Response Rate Not Met,23.0,No
789277,1032 Queen St W,Boulevard Cafe,0,30.0,115.0,2,29.0,25% of ballots received by voters,25,114.0,1.0,3,2016-10-26,2.0,115.0,2018-10-27,2016-09-26,16.0,50% + 1 of received ballots,BCP 2016-139,496.0,Opposed,139.0,Yes
789278,3076 Dundas St W,Boulevard Cafe,0,37.0,118.0,25,24.0,25% of ballots received by voters,11,96.0,22.0,1,2016-10-29,0.0,118.0,2018-10-30,2016-09-29,20.0,50% + 1 of received ballots,BCP 2016-140,497.0,In Favour,146.0,Yes
789279,3074 Dundas St W,Boulevard Cafe,0,26.0,114.0,17,26.0,25% of ballots received by voters,5,101.0,13.0,4,2016-11-02,0.0,114.0,2018-11-03,2016-10-03,14.0,50% + 1 of received ballots,BCP 2016-141,498.0,In Favour,142.0,Yes
789280,1595 Dupont St,Boulevard Cafe,0,29.0,66.0,23,16.0,25% of ballots received by voters,0,64.0,2.0,6,2016-11-02,0.0,66.0,2018-11-03,2016-10-03,16.0,50% + 1 of received ballots,BCP 2016-142,499.0,In Favour,81.0,Yes
789281,618 Yonge St,Boulevard Cafe,0,0.0,5.0,0,2.0,25% of ballots received by voters,0,5.0,0.0,0,2016-11-03,0.0,5.0,2018-11-04,2016-10-04,,50% + 1 of received ballots,BCP 2016-143,500.0,Response Rate Not Met,12.0,No
789282,69 Clouston Ave,Appeal - Front Yard Parking,0,26.0,71.0,17,18.0,25% of ballots received by voters,9,71.0,0.0,0,2016-11-02,0.0,71.0,2019-11-03,2016-10-03,14.0,50% + 1 of received ballots,FYPA 2016-144,501.0,In Favour,92.0,Yes
789283,,Traffic Calming,0,105.0,225.0,76,113.0,50% + 1 of ballots received by voters,24,224.0,1.0,5,2016-11-10,0.0,225.0,2018-11-11,2016-10-11,,60% of received ballots,TCP 2016-145,502.0,Response Rate Not Met,273.0,No
789284,66 Dynevor Rd,Appeal - Front Yard Parking,0,63.0,116.0,60,28.0,25% of ballots received by voters,0,111.0,5.0,3,2016-11-02,0.0,116.0,2019-11-03,2016-10-03,33.0,50% + 1 of received ballots,FYPA 2016-146,504.0,In Favour,150.0,Yes
789285,24 Roseneath Gdns,Appeal - Front Yard Parking,0,46.0,125.0,35,30.0,25% of ballots received by voters,6,120.0,5.0,5,2016-10-29,0.0,125.0,2019-10-30,2016-09-29,24.0,50% + 1 of received ballots,FYPA 2016-147,505.0,In Favour,146.0,Yes
789286,12 Geary Ave,Front Yard Parking,0,10.0,12.0,10,3.0,25% of ballots received by voters,0,12.0,0.0,0,2016-11-02,0.0,12.0,2019-11-03,2016-10-03,6.0,50% + 1 of received ballots,FYP 2016-148,506.0,In Favour,25.0,Yes
789287,12 Norway Ave,Front Yard Parking,0,26.0,40.0,22,10.0,25% of ballots received by voters,1,40.0,0.0,3,2016-11-03,0.0,40.0,2019-11-04,2016-10-04,14.0,50% + 1 of received ballots,FYP 2016-149,507.0,In Favour,48.0,Yes
789288,11 Spring Grove Ave,Appeal - Front Yard Parking,0,32.0,81.0,22,21.0,25% of ballots received by voters,8,81.0,0.0,2,2016-11-03,0.0,81.0,2019-11-04,2016-10-04,17.0,50% + 1 of received ballots,FYPA 2016-150,508.0,In Favour,102.0,Yes
789289,163 Arlington Ave,Front Yard Parking,0,50.0,88.0,48,22.0,25% of ballots received by voters,0,88.0,0.0,2,2016-11-05,0.0,88.0,2019-11-06,2016-10-06,26.0,50% + 1 of received ballots,FYP 2016-151,509.0,In Favour,180.0,Yes
789290,85 Castleton Ave,Front Yard Parking,0,28.0,41.0,27,10.0,25% of ballots received by voters,1,40.0,1.0,0,2016-11-04,0.0,41.0,2019-11-05,2016-10-05,15.0,50% + 1 of received ballots,FYP 2016-152,510.0,In Favour,52.0,Yes
789291,115 Humbercrest Blvd,Front Yard Parking,0,40.0,64.0,30,16.0,25% of ballots received by voters,7,64.0,0.0,3,2016-11-03,0.0,64.0,2019-11-04,2016-10-04,21.0,50% + 1 of received ballots,FYP 2016-153,511.0,In Favour,73.0,Yes
789292,354 Briar Hill Ave,Front Yard Parking,0,58.0,96.0,41,23.0,25% of ballots received by voters,1,91.0,5.0,16,2016-11-04,0.0,96.0,2019-11-05,2016-10-05,30.0,50% + 1 of received ballots,FYP 2016-154,512.0,In Favour,102.0,Yes
789293,175 Chambers Ave,Appeal - Front Yard Parking,0,31.0,112.0,27,27.0,25% of ballots received by voters,0,105.0,7.0,4,2016-11-04,0.0,112.0,2019-11-05,2016-10-05,17.0,50% + 1 of received ballots,FYPA 2016-155,513.0,In Favour,143.0,Yes
789294,137 Hillsdale Ave E,Appeal - Front Yard Parking,0,55.0,117.0,48,28.0,25% of ballots received by voters,5,110.0,7.0,2,2016-11-05,1.0,117.0,2019-11-06,2016-10-06,29.0,50% + 1 of received ballots,FYPA 2016-156,514.0,In Favour,133.0,Yes
789295,89 Brookside Ave,Front Yard Parking,0,71.0,136.0,65,32.0,25% of ballots received by voters,3,128.0,8.0,3,2016-11-05,1.0,136.0,2019-11-06,2016-10-06,37.0,50% + 1 of received ballots,FYP 2016-157,515.0,In Favour,151.0,Yes
789296,327 Forman Ave,Front Yard Parking,0,48.0,83.0,44,21.0,25% of ballots received by voters,1,81.0,2.0,3,2016-11-05,0.0,83.0,2019-11-06,2016-10-06,25.0,50% + 1 of received ballots,FYP 2016-158,516.0,In Favour,145.0,Yes
789297,75 Earlsdale Ave,Appeal - Front Yard Parking,0,40.0,84.0,31,19.0,25% of ballots received by voters,2,74.0,10.0,7,2016-11-10,0.0,84.0,2019-11-11,2016-10-11,21.0,50% + 1 of received ballots,FYPA 2016-159,517.0,In Favour,104.0,Yes
789298,226 Hillsdale Ave E,Appeal - Front Yard Parking,0,36.0,85.0,30,21.0,25% of ballots received by voters,4,82.0,3.0,2,2016-11-10,0.0,85.0,2019-11-11,2016-10-11,19.0,50% + 1 of received ballots,FYPA 2016-160,518.0,In Favour,93.0,Yes
789299,68 Glen Manor Dr,Appeal - Front Yard Parking,0,22.0,140.0,16,28.0,25% of ballots received by voters,5,110.0,30.0,1,2016-11-10,0.0,140.0,2019-11-11,2016-10-11,,50% + 1 of received ballots,FYPA 2016-161,519.0,Response Rate Not Met,170.0,No
789300,,Traffic Calming,0,27.0,31.0,22,17.0,50% + 1 of ballots received by voters,4,31.0,0.0,1,2016-11-11,0.0,31.0,2018-11-12,2016-10-12,17.0,60% of received ballots,TCP 2016-162,522.0,In Favour,35.0,Yes
789301,24 Linnsmore Cres,Front Yard Parking,0,57.0,74.0,55,17.0,25% of ballots received by voters,0,68.0,6.0,2,2016-11-10,0.0,74.0,2019-11-11,2016-10-11,30.0,50% + 1 of received ballots,FYP 2016-163,523.0,In Favour,86.0,Yes
789302,350 Brookdale Ave,Front Yard Parking,0,49.0,106.0,47,27.0,25% of ballots received by voters,0,105.0,1.0,2,2016-11-10,0.0,106.0,2019-11-11,2016-10-11,26.0,50% + 1 of received ballots,FYP 2016-164,524.0,In Favour,128.0,Yes
789303,86 Robina Ave,Appeal - Front Yard Parking,0,72.0,153.0,49,36.0,25% of ballots received by voters,4,144.0,9.0,19,2016-11-23,0.0,153.0,2019-11-24,2016-10-24,37.0,50% + 1 of received ballots,FYPA 2016-165,525.0,In Favour,184.0,Yes
789304,120 Blackthorn Ave,Appeal - Front Yard Parking,0,36.0,106.0,31,26.0,25% of ballots received by voters,2,101.0,5.0,3,2016-11-23,0.0,106.0,2019-11-24,2016-10-24,19.0,50% + 1 of received ballots,FYPA 2016-166,526.0,In Favour,136.0,Yes
789305,,Traffic Calming – Island,0,26.0,30.0,15,16.0,50% + 1 of ballots received by voters,10,30.0,0.0,1,2016-11-11,1.0,30.0,2018-11-12,2016-10-12,16.0,60% of received ballots,TCIP 2016-167,527.0,Opposed,37.0,Yes
789306,11 Grimthorpe Rd,Front Yard Parking,0,15.0,50.0,13,13.0,25% of ballots received by voters,0,49.0,1.0,2,2016-11-16,0.0,50.0,2019-11-17,2016-10-17,9.0,50% + 1 of received ballots,FYP 2016-168,528.0,In Favour,58.0,Yes
789307,98 Hatherley Rd,Front Yard Parking,0,32.0,93.0,21,24.0,25% of ballots received by voters,1,93.0,0.0,10,2016-11-16,0.0,93.0,2019-11-17,2016-10-17,17.0,50% + 1 of received ballots,FYP 2016-169,529.0,In Favour,104.0,Yes
789308,908 Queen St E,Boulevard Cafe,0,10.0,20.0,4,5.0,25% of ballots received by voters,6,18.0,2.0,0,2016-11-24,0.0,20.0,2018-11-25,2016-10-25,6.0,50% + 1 of received ballots,BCP 2016-170,530.0,Opposed,27.0,Yes
789309,,Traffic Calming,0,243.0,569.0,170,267.0,50% + 1 of ballots received by voters,39,532.0,37.0,34,2016-10-26,36.0,569.0,2018-10-27,2016-09-26,,60% of received ballots,TCP 2016-171,531.0,Response Rate Not Met,671.0,No
789310,3 Royal St,Appeal - Front Yard Parking,0,41.0,92.0,36,23.0,25% of ballots received by voters,3,90.0,2.0,2,2016-11-24,0.0,92.0,2019-11-25,2016-10-25,22.0,50% + 1 of received ballots,FYPA 2016-172,532.0,In Favour,102.0,Yes
789311,5 Somerville Ave,Appeal - Front Yard Parking,0,40.0,73.0,30,19.0,25% of ballots received by voters,6,73.0,0.0,4,2016-11-16,0.0,73.0,2019-11-17,2016-10-17,21.0,50% + 1 of received ballots,FYPA 2016-173,533.0,In Favour,91.0,Yes
789312,45 Herbert Ave,Appeal - Front Yard Parking,0,43.0,136.0,24,34.0,25% of ballots received by voters,17,136.0,0.0,2,2016-11-23,0.0,136.0,2019-11-24,2016-10-24,23.0,50% + 1 of received ballots,FYPA 2016-174,534.0,In Favour,156.0,Yes
789313,6 Hollis St,Appeal - Front Yard Parking,0,26.0,40.0,22,10.0,25% of ballots received by voters,0,40.0,0.0,4,2016-11-24,0.0,40.0,2019-11-25,2016-10-25,14.0,50% + 1 of received ballots,FYPA 2016-175,535.0,In Favour,49.0,Yes
789314,24 Belgravia Ave,Appeal - Front Yard Parking,0,42.0,121.0,32,30.0,25% of ballots received by voters,8,120.0,1.0,2,2016-11-24,0.0,121.0,2019-11-25,2016-10-25,22.0,50% + 1 of received ballots,FYPA 2016-176,536.0,In Favour,146.0,Yes
789315,45A Benlamond Ave,Appeal - Front Yard Parking,0,42.0,109.0,29,27.0,25% of ballots received by voters,7,108.0,1.0,6,2016-12-07,4.0,109.0,2019-12-08,2016-11-07,22.0,50% + 1 of received ballots,FYPA 2016-177,537.0,In Favour,130.0,Yes
789316,14 Somerville Ave,Appeal - Front Yard Parking,0,37.0,70.0,27,18.0,25% of ballots received by voters,5,70.0,0.0,5,2016-11-25,1.0,70.0,2019-11-26,2016-10-26,20.0,50% + 1 of received ballots,FYPA 2016-178,538.0,In Favour,85.0,Yes
789317,33 Livingstone Ave,Appeal - Front Yard Parking,0,47.0,130.0,27,32.0,25% of ballots received by voters,13,128.0,2.0,7,2016-11-26,0.0,130.0,2019-11-27,2016-10-27,25.0,50% + 1 of received ballots,FYPA 2016-179,539.0,In Favour,146.0,Yes
789318,485 Lauder Ave,Appeal - Front Yard Parking,0,50.0,130.0,32,32.0,25% of ballots received by voters,16,127.0,3.0,2,2016-11-26,0.0,130.0,2019-11-27,2016-10-27,26.0,50% + 1 of received ballots,FYPA 2016-181,541.0,In Favour,157.0,Yes
789319,8 Norway Ave,Appeal - Front Yard Parking,0,25.0,47.0,19,11.0,25% of ballots received by voters,1,44.0,3.0,5,2016-12-03,0.0,47.0,2019-12-04,2016-11-03,14.0,50% + 1 of received ballots,FYPA 2016-182,542.0,In Favour,56.0,Yes
789320,535 Queen St W,Boulevard Cafe,0,28.0,162.0,17,39.0,25% of ballots received by voters,4,156.0,6.0,7,2016-12-07,0.0,162.0,2018-12-08,2016-11-07,,50% + 1 of received ballots,BCP 2016-183,543.0,Response Rate Not Met,169.0,No
789321,35 Waller Ave,Front Yard Parking,0,47.0,70.0,43,18.0,25% of ballots received by voters,1,69.0,1.0,3,2016-12-03,0.0,70.0,2019-12-04,2016-11-03,25.0,50% + 1 of received ballots,FYP 2016-184,544.0,In Favour,80.0,Yes
789322,,Permit Parking,0,5.0,31.0,2,7.0,25% of ballots received by voters,3,27.0,4.0,0,2016-12-03,0.0,31.0,2018-12-04,2016-11-03,,50% + 1 of received ballots,PPP 2016-185,545.0,Response Rate Not Met,37.0,No
789323,575 Merton St,Front Yard Parking,0,57.0,105.0,41,26.0,25% of ballots received by voters,6,104.0,1.0,10,2016-12-08,1.0,105.0,2019-12-09,2016-11-08,30.0,50% + 1 of received ballots,FYP 2016-186,546.0,In Favour,129.0,Yes
789324,162 Hammersmith Ave,Appeal - Front Yard Parking,0,45.0,90.0,23,22.0,25% of ballots received by voters,20,85.0,5.0,2,2016-12-07,0.0,90.0,2019-12-08,2016-11-07,24.0,50% + 1 of received ballots,FYPA 2016-187,547.0,Opposed,103.0,Yes
789325,466 Castlefield Ave,Front Yard Parking,0,49.0,83.0,38,20.0,25% of ballots received by voters,0,79.0,4.0,11,2016-12-07,0.0,83.0,2019-12-08,2016-11-07,26.0,50% + 1 of received ballots,FYP 2016-188,548.0,In Favour,95.0,Yes
789326,132 Hopedale Ave,Front Yard Parking,0,33.0,59.0,29,15.0,25% of ballots received by voters,4,57.0,2.0,0,2016-12-10,0.0,59.0,2019-12-11,2016-11-10,18.0,50% + 1 of received ballots,FYP 2016-189,549.0,In Favour,67.0,Yes
789327,519 Soudan Ave,Front Yard Parking,0,39.0,82.0,31,21.0,25% of ballots received by voters,4,82.0,0.0,4,2016-12-09,0.0,82.0,2019-12-10,2016-11-09,21.0,50% + 1 of received ballots,FYP 2016-190,550.0,In Favour,93.0,Yes
789328,91 Ypres Rd,Front Yard Parking,0,26.0,83.0,25,20.0,25% of ballots received by voters,1,79.0,4.0,0,2016-12-08,0.0,83.0,2019-12-09,2016-11-08,14.0,50% + 1 of received ballots,FYP 2016-192,552.0,In Favour,104.0,Yes
789329,30 Atlas Ave,Front Yard Parking,0,27.0,53.0,26,10.0,25% of ballots received by voters,1,37.0,16.0,0,2016-12-09,0.0,53.0,2019-12-10,2016-11-09,15.0,50% + 1 of received ballots,FYP 2016-193,553.0,In Favour,62.0,Yes
789330,46 Vernon St,Appeal - Front Yard Parking,0,65.0,135.0,55,32.0,25% of ballots received by voters,5,126.0,9.0,5,2016-12-08,0.0,135.0,2019-12-09,2016-11-08,34.0,50% + 1 of received ballots,FYPA 2016-194,554.0,In Favour,168.0,Yes
789331,114 Beresford Ave,Appeal - Front Yard Parking,0,44.0,92.0,38,21.0,25% of ballots received by voters,0,83.0,9.0,6,2016-12-08,0.0,92.0,2019-12-09,2016-11-08,23.0,50% + 1 of received ballots,FYPA 2016-195,555.0,In Favour,134.0,Yes
789332,292 Glen Rd,Appeal - Front Yard Parking,0,47.0,70.0,45,18.0,25% of ballots received by voters,0,69.0,1.0,2,2016-12-09,0.0,70.0,2019-12-10,2016-11-09,25.0,50% + 1 of received ballots,FYPA 2016-196,556.0,In Favour,83.0,Yes
789333,91 Ashdale Ave,Appeal - Front Yard Parking,0,37.0,93.0,18,23.0,25% of ballots received by voters,12,90.0,3.0,7,2016-12-10,0.0,93.0,2019-12-11,2016-11-10,20.0,50% + 1 of received ballots,FYPA 2016-197,557.0,Opposed,110.0,Yes
789334,691 Mount Pleasant Rd,Commercial Boulevard Parking,0,23.0,64.0,11,15.0,25% of ballots received by voters,11,57.0,7.0,1,2016-12-14,0.0,64.0,2018-12-15,2016-11-14,13.0,50% + 1 of received ballots,CBP 2016-198,558.0,Opposed,81.0,Yes
789335,224 Evelyn Ave,Front Yard Parking,0,38.0,104.0,13,25.0,25% of ballots received by voters,23,100.0,4.0,2,2016-12-17,0.0,104.0,2019-12-18,2016-11-17,20.0,50% + 1 of received ballots,FYP 2016-199,559.0,Opposed,125.0,Yes
789336,299 Waverley Rd,Front Yard Parking,0,67.0,156.0,52,36.0,25% of ballots received by voters,10,141.0,15.0,5,2016-12-09,0.0,156.0,2019-12-10,2016-11-09,35.0,50% + 1 of received ballots,FYP 2016-200,560.0,In Favour,185.0,Yes
789337,27 Westover Hill Rd,Front Yard Parking,0,41.0,74.0,28,19.0,25% of ballots received by voters,6,74.0,0.0,7,2016-12-10,0.0,74.0,2019-12-11,2016-11-10,22.0,50% + 1 of received ballots,FYP 2016-201,561.0,In Favour,88.0,Yes
789338,28 Lessard Ave,Front Yard Parking,0,56.0,109.0,54,26.0,25% of ballots received by voters,0,101.0,8.0,2,2016-12-16,0.0,109.0,2019-12-17,2016-11-16,29.0,50% + 1 of received ballots,FYP 2016-202,562.0,In Favour,134.0,Yes
789339,1184 Bloor St W,Boulevard Cafe,0,20.0,99.0,13,25.0,25% of ballots received by voters,0,98.0,1.0,7,2016-12-17,0.0,99.0,2018-12-18,2016-11-17,,50% + 1 of received ballots,BCP 2016-203,563.0,Response Rate Not Met,123.0,No
789340,450 Woburn Ave,Appeal - Front Yard Parking,0,47.0,78.0,41,20.0,25% of ballots received by voters,4,78.0,0.0,2,2016-12-16,1.0,78.0,2019-12-17,2016-11-16,25.0,50% + 1 of received ballots,FYPA 2016-204,564.0,In Favour,89.0,Yes
789341,452 Woburn Ave,Appeal - Front Yard Parking,0,48.0,83.0,42,21.0,25% of ballots received by voters,4,83.0,0.0,2,2016-12-17,1.0,83.0,2019-12-18,2016-11-17,25.0,50% + 1 of received ballots,FYPA 2016-205,565.0,In Favour,96.0,Yes
789342,2 Crosby Ave,Front Yard Parking,0,11.0,20.0,10,5.0,25% of ballots received by voters,0,20.0,0.0,1,2016-12-21,0.0,20.0,2019-12-22,2016-11-21,7.0,50% + 1 of received ballots,FYP 2016-206,566.0,In Favour,22.0,Yes
789343,42 Norway Ave,Front Yard Parking,0,32.0,47.0,29,10.0,25% of ballots received by voters,2,40.0,7.0,1,2016-12-24,2.0,47.0,2019-12-25,2016-11-24,17.0,50% + 1 of received ballots,FYP 2016-207,567.0,In Favour,92.0,Yes
789344,1 Astoria Ave,Front Yard Parking,0,26.0,42.0,26,11.0,25% of ballots received by voters,0,42.0,0.0,0,2016-12-24,0.0,42.0,2019-12-25,2016-11-24,14.0,50% + 1 of received ballots,FYP 2016-208,568.0,In Favour,49.0,Yes
789345,2620 Danforth Ave,Commercial Boulevard Parking,0,3.0,24.0,3,6.0,25% of ballots received by voters,0,24.0,0.0,0,2017-01-21,0.0,24.0,2019-01-22,2016-12-22,,50% + 1 of received ballots,CBP 2016-209,569.0,Response Rate Not Met,40.0,No
789346,364 Atlas Ave,Front Yard Parking,0,36.0,97.0,35,23.0,25% of ballots received by voters,0,92.0,5.0,1,2016-12-23,0.0,97.0,2019-12-24,2016-11-23,19.0,50% + 1 of received ballots,FYP 2016-210,570.0,In Favour,167.0,Yes
789347,224 Lonsmount Dr,Front Yard Parking,0,7.0,19.0,7,5.0,25% of ballots received by voters,0,19.0,0.0,0,2016-12-30,0.0,19.0,2019-12-31,2016-11-30,5.0,50% + 1 of received ballots,FYP 2016-211,571.0,In Favour,21.0,Yes
789348,88 Guestville Ave,Front Yard Parking,0,32.0,38.0,31,10.0,25% of ballots received by voters,0,38.0,0.0,1,2016-12-23,0.0,38.0,2019-12-24,2016-11-23,17.0,50% + 1 of received ballots,FYP 2016-212,572.0,In Favour,152.0,Yes
789349,585 Windermere Ave,Front Yard Parking,0,63.0,102.0,55,25.0,25% of ballots received by voters,8,99.0,3.0,0,2016-12-24,0.0,102.0,2019-12-25,2016-11-24,33.0,50% + 1 of received ballots,FYP 2016-213,573.0,In Favour,119.0,Yes
